,stop_name,avg_longitude,avg_latitude,base_stop_id,all_stop_ids
0,Chotkovy sady,14.4090435,50.095165,U187,"['U187Z1P', 'U187Z2P']"
1,Hradčanská,14.404188666666666,50.09749822222222,U163,"['U163S1', 'U163Z1P', 'U163Z10P', 'U163Z101P', 'U163Z102P', 'U163Z2P', 'U163Z5P', 'U163Z6P', 'U163Z9P']"
2,Kamenická,14.428636000000001,50.099638,U231,"['U231Z1P', 'U231Z2P']"
3,Korunovační,14.419715333333334,50.100392666666664,U262,"['U262Z2P', 'U262Z3P', 'U262Z4P']"
4,Letenské náměstí,14.423605,50.0999755,U324,"['U324Z1P', 'U324Z2P']"
5,Nábřeží Kapitána Jaroše,14.431299,50.096321,U439,['U439Z1P']
6,Sparta,14.417687,50.09916025,U692,"['U692Z1P', 'U692Z2P', 'U692Z3P', 'U692Z4P']"
7,Strossmayerovo náměstí,14.433265,50.09891025,U717,"['U717Z1P', 'U717Z2P', 'U717Z4P', 'U717Z5P']"
8,Veletržní palác,14.433063666666667,50.101734,U841,"['U841Z1P', 'U841Z2P', 'U841Z4P']"
9,Vltavská,14.438300000000002,50.09918455555555,U100,"['U100S1', 'U100Z1P', 'U100Z101P', 'U100Z102P', 'U100Z2P', 'U100Z3P', 'U100Z4P', 'U100Z5P', 'U100Z6P']"
10,Výstaviště,14.431911,50.1043512,U532,"['U532Z1P', 'U532Z2P', 'U532Z3P', 'U532Z4P', 'U532Z53P']"
