Home Team,Away Team,Opponent,is_home,Competition,Round,Date,Time,Score,Location,datetime
Sparta Praha,FK Pardubice,FK Pardubice,True,Chance Liga,1. kolo,19.07.2024,19:00,2:1,D,19.07.2024 19:00
Shamrock Rovers,Sparta Praha,Shamrock Rovers,False,Liga mistrů,2.př 1.z,23.07.2024,21:00,0:2,V,23.07.2024 21:00
FK Teplice,Sparta Praha,FK Teplice,False,Chance Liga,2. kolo,27.07.2024,17:00,1:4,V,27.07.2024 17:00
Sparta Praha,Shamrock Rovers,Shamrock Rovers,True,Liga mistrů,2.př 2.z,30.07.2024,19:00,4:2,D,30.07.2024 19:00
Sparta Praha,Dukla Praha,Dukla Praha,True,Chance Liga,3. kolo,02.08.2024,20:00,2:0,D,02.08.2024 20:00
Sparta Praha,FCSB,FCSB,True,Liga mistrů,3.př 1.z,06.08.2024,20:00,1:1,D,06.08.2024 20:00
Bohemians 1905,Sparta Praha,Bohemians 1905,False,Chance Liga,4. kolo,10.08.2024,17:00,1:2,V,10.08.2024 17:00
FCSB,Sparta Praha,FCSB,False,Liga mistrů,3.př 2.z,13.08.2024,20:30,2:3,V,13.08.2024 20:30
FK Jablonec,Sparta Praha,FK Jablonec,False,Chance Liga,5. kolo,17.08.2024,20:00,1:2,V,17.08.2024 20:00
Malmö FF,Sparta Praha,Malmö FF,False,Liga mistrů,4.př 1.z,21.08.2024,21:00,0:2,V,21.08.2024 21:00
Sparta Praha,1. FC Slovácko,1. FC Slovácko,True,Chance Liga,6. kolo,24.08.2024,17:00,2:2,D,24.08.2024 17:00
Sparta Praha,Malmö FF,Malmö FF,True,Liga mistrů,4.př 2.z,27.08.2024,21:00,2:0,D,27.08.2024 21:00
Hradec Král.,Sparta Praha,Hradec Král.,False,Chance Liga,7. kolo,31.08.2024,20:00,0:2,V,31.08.2024 20:00
Sparta Praha,Salzburg,Salzburg,True,Liga mistrů,Hl.f,18.09.2024,18:45,3:0,D,18.09.2024 18:45
